Title,Sales,Series,Platform(s),Initial release date,Developer(s)[b],Publisher(s)[b],Ref.
God of War,,,,,,,
Minecraft,"350,000,000",Minecraft,Multi-platform,"November 18, 2011[c]",Mojang Studios,Mojang Studios / Xbox Game Studios,[4]
Grand Theft Auto,"200,000,000",Grand Theft Auto,Multi-platform,"September 17, 2013",Rockstar North,Rockstar Games,[5]
Wii,"82,900,000",Wii,Wii,"November 19, 2006",Nintendo EAD,Nintendo,[6]
PUBG Universe,"75,000,000",PUBG Universe,Multi-platform,"December 20, 2017",PUBG Studios,Krafton,[7]
Mario Kart,"71,360,000",Mario Kart,Wii U / Switch,"May 29, 2014",Nintendo EAD / Nintendo EPD (Deluxe),Nintendo,[d]
Red Dead,"65,000,000",Red Dead,Multi-platform,"October 26, 2018",Rockstar Games,Rockstar Games,[5]
None,"58,700,000",None,Multi-platform,"May 16, 2011",Re-Logic,Re-Logic / 505 Games,[10]
Super Mario,"58,000,000",Super Mario,Multi-platform,"September 13, 1985",Nintendo R&D4,Nintendo,[e]
Overwatch,"50,000,000",Overwatch,Multi-platform,"May 24, 2016",Blizzard Entertainment,Blizzard Entertainment,[14]
Tetris,"48,000,000",Tetris,Game Boy / NES,"June 14, 1989",Nintendo R&D1,Nintendo,[f]
Pokémon,"47,520,000",Pokémon,Multi-platform,"February 27, 1996",Game Freak,Nintendo,[g]
Animal Crossing,"45,850,000",Animal Crossing,Nintendo Switch,"March 20, 2020",Nintendo EPD,Nintendo,[9]
Wii,"43,800,000",Wii,Wii,"December 1, 2007",Nintendo EAD,Nintendo,[h]
Pac-Man,"42,000,000",Pac-Man,Multi-platform,"May 22, 1980",Namco,Namco,[i]
Mario Kart,"37,380,000",Mario Kart,Wii,"April 10, 2008",Nintendo EAD,Nintendo,[6]
Super Smash Bros.,"34,660,000",Super Smash Bros.,Nintendo Switch,"December 7, 2018",Bandai Namco Studios / Sora Ltd.,Nintendo,[9]
The Legend of Zelda,"33,750,000",The Legend of Zelda,Wii U / Switch,"March 3, 2017",Nintendo EPD,Nintendo,[j]
Wii,"33,140,000",Wii,Wii,"June 25, 2009",Nintendo EAD,Nintendo,[6]
Super Mario,"30,800,000",Super Mario,Nintendo DS,"May 15, 2006",Nintendo EAD,Nintendo,[33]
Super Mario,"30,320,000",Super Mario,Wii,"November 11, 2009",Nintendo EAD,Nintendo,[6]
Call of Duty,"30,000,000",Call of Duty,Multi-platform,"October 25, 2019",Infinity Ward,Activision,[34]
Pokémon,"29,490,000",Pokémon,Game Boy Color,"November 21, 1999",Game Freak,Nintendo,[k]
None,"28,300,000",None,NES,"April 21, 1984",Nintendo R&D1,Nintendo,[38]
Super Mario,"28,210,000",Super Mario,Nintendo Switch,"October 27, 2017",Nintendo EPD,Nintendo,[9]
Wii,"28,020,000",Wii,Wii,"December 2, 2006",Nintendo EAD,Nintendo,[6]
The Walking Dead,"28,000,000",The Walking Dead,Multi-platform,"April 24, 2012",Telltale Games,Telltale Games,[39]
Grand Theft Auto,"27,500,000",Grand Theft Auto,Multi-platform,"October 26, 2004",Rockstar North,Rockstar Games,[41]
Super Mario,"26,662,500",Super Mario,Multi-platform,"November 21, 1990",Nintendo EAD,Nintendo,[l]
Call of Duty,"26,500,000",Call of Duty,Multi-platform,"November 8, 2011",Infinity Ward / Sledgehammer,Activision,[43]
FIFA,"26,400,000",FIFA,Multi-platform,"September 29, 2017",EA Vancouver,EA Sports,[n]
Pokémon,"26,350,000",Pokémon,Nintendo Switch,"November 15, 2019",Game Freak,Nintendo / The Pokémon Company,[9]
Call of Duty,"26,200,000",Call of Duty,Multi-platform,"November 9, 2010",Treyarch,Activision,[43]
Pokémon,"25,540,000",Pokémon,Nintendo 3DS,"November 18, 2016",Game Freak,Nintendo / The Pokémon Company,[o]
Pokémon,"25,290,000",Pokémon,Nintendo Switch,"November 18, 2022",Game Freak,Nintendo / The Pokémon Company,[9]
Grand Theft Auto,"25,000,000",Grand Theft Auto,Multi-platform,"April 29, 2008",Rockstar North,Rockstar Games,[48]
Pokémon,"24,730,000",Pokémon,Nintendo DS,"September 28, 2006",Game Freak,Nintendo / The Pokémon Company,[p]
Super Mario,"24,430,000",Super Mario,Multi-platform,"October 23, 1988",Nintendo EAD,Nintendo,[q]
Call of Duty,"24,200,000",Call of Duty,Multi-platform,"November 12, 2012",Treyarch,Activision,[43]
Wizarding World,"24,000,000",Wizarding World,Multi-platform,"February 10, 2023",Avalanche Software,Warner Bros. Games,[55]
God of War,"23,000,000",God of War,Playstation 4 / Windows,"April 20, 2018",Santa Monica Studio,Sony Interactive Entertainment,[57]
